"Artist","EndDate","Period"
"Robert Watts",1988,"Postmodernism/Y2K Resurgence"
"Louise Bourgeois",2010,"Contemporary Art"
"Josef Albers",1976,"Pop Art/Minimalism"
"Roland Penrose",1984,"Postmodernism/Y2K Resurgence"
"Eugène Atget",1927,"Dada/Surrealism"
"Andy Warhol",1987,"Postmodernism/Y2K Resurgence"
"James Prestini",1993,"Postmodernism/Y2K Resurgence"
"Eugène Atget",1927,"Dada/Surrealism"
"Robert Watts",1988,"Postmodernism/Y2K Resurgence"
"Jacques-Henri Lartigue",1986,"Postmodernism/Y2K Resurgence"
"Edward Burne-Jones",1898,"Realism/Impressionism"
"Ludwig Mies van der Rohe",1969,"Pop Art/Minimalism"
"Doris Ulmann",1934,"Dada/Surrealism"
"Marc Chagall",1985,"Postmodernism/Y2K Resurgence"
"Leonard Baskin",2000,"Contemporary Art"
"Ansel Adams",1984,"Postmodernism/Y2K Resurgence"
"Rudy Pozzatti",2021,"Contemporary Art"
"General Idea",1994,"Postmodernism/Y2K Resurgence"
"Christian Boltanski",2021,"Contemporary Art"
"Allan D'Arcangelo",1998,"Postmodernism/Y2K Resurgence"
"Francisco de Goya",1828,"Romanticism"
"Henri Matisse",1954,"Abstract Expressionism"
"Jean Charlot",1979,"Pop Art/Minimalism"
"Edvard Munch",1944,"Abstract Expressionism"
"David Goldblatt",2018,"Contemporary Art"
"Yasuo Kuniyoshi",1953,"Abstract Expressionism"
"Sol LeWitt",2007,"Contemporary Art"
"Sol LeWitt",2007,"Contemporary Art"
"Henri Matisse",1954,"Abstract Expressionism"
"Walker Evans",1975,"Pop Art/Minimalism"
"Eugène Atget",1927,"Dada/Surrealism"
"Pablo Picasso",1973,"Pop Art/Minimalism"
"Arshile Gorky",1948,"Abstract Expressionism"
"Niki de Saint Phalle",2002,"Contemporary Art"
"Ellsworth Kelly",2015,"Contemporary Art"
"Harun Farocki",2014,"Contemporary Art"
"Lyonel Feininger",1956,"Abstract Expressionism"
"Yki Nummi",1984,"Postmodernism/Y2K Resurgence"
"Philip Guston",1980,"Postmodernism/Y2K Resurgence"
"Paul Citroen",1983,"Postmodernism/Y2K Resurgence"
"Gottfried Brockmann",1983,"Postmodernism/Y2K Resurgence"
"Richard Pousette-Dart",1992,"Postmodernism/Y2K Resurgence"
"Paul Delvaux",1994,"Postmodernism/Y2K Resurgence"
"Ludwig Mies van der Rohe",1969,"Pop Art/Minimalism"
"Felice Beato",1903,"Cubism/Futurism"
"Niklaus Stoecklin",1982,"Postmodernism/Y2K Resurgence"
"Le Corbusier (Charles-Édouard Jeanneret)",1965,"Pop Art/Minimalism"
"A.R. Penck (Ralf Winkler)",2017,"Contemporary Art"
"Eugène Atget",1927,"Dada/Surrealism"
"Marc Chagall",1985,"Postmodernism/Y2K Resurgence"
"Aaron Siskind",1991,"Postmodernism/Y2K Resurgence"
"John Thomson",1921,"Dada/Surrealism"
"Romas Viesulas",1986,"Postmodernism/Y2K Resurgence"
"Alvar Aalto",1976,"Pop Art/Minimalism"
"James Mudd",1906,"Cubism/Futurism"
"Louise Bourgeois",2010,"Contemporary Art"
"August Sander",1964,"Pop Art/Minimalism"
"Ansel Adams",1984,"Postmodernism/Y2K Resurgence"
"Jean Dubuffet",1985,"Postmodernism/Y2K Resurgence"
"Louise Bourgeois",2010,"Contemporary Art"
"Ellsworth Kelly",2015,"Contemporary Art"
"Anni Albers",1994,"Postmodernism/Y2K Resurgence"
"Marcel Duchamp",1968,"Pop Art/Minimalism"
"Louise Bourgeois",2010,"Contemporary Art"
"Umberto Boccioni",1916,"Cubism/Futurism"
"Alfredo Cortina",1988,"Postmodernism/Y2K Resurgence"
"Eugène Atget",1927,"Dada/Surrealism"
"Friedrich Vordemberge-Gildewart",1962,"Pop Art/Minimalism"
"Tom Levine",2020,"Contemporary Art"
"Jannis Kounellis",2017,"Contemporary Art"
"Louis Bunce",1983,"Postmodernism/Y2K Resurgence"
"Ellsworth Kelly",2015,"Contemporary Art"
"August Sander",1964,"Pop Art/Minimalism"
"Paul Jenkins",2012,"Contemporary Art"
